KFC;;
Followers = 1.8M Followes;;
;;
;Username;Comment
;osafort27;Boycott kfc
;amydodsworthx;kfc got out the statistics on this one
;maddyyy_tu;I love me some KFC
;ken_dolljr;It tastes like Chicken Parm. to me.
;lildawesy;Hi kfc
;localpizzi;“Chicken parm you taste so good — in Peyton Manning voice” 🍕
;levautour;I hope this is a permanent item on the menu, if not I would love to see it make annual or bi-annual returns!
;p0tentialx;CHIZZZZAAAAAAA
;jtneww;hiya kfc I work for u
;kamal_gurbanly;The Chizza is looking good 👍
;rehan.babloo11;Free palestine 🇵🇸
;daniel_hunt115;I tried it and it was kinda ass ngl. Also KFC supports Israel apparently? Huh
;abidalhb;Free Palestine
;kylerbb16;I love kfc 😍
;klaireholland;@alecls how do we feel
;b.li2002;OH MY GOD! WHO THE HELL CARES? Just bring back Nashville Hot Sauce, Popcorn Nuggets, and Potato Wedges! Is it really that hard?
;rarekills;kfc always saves the day even if it’s raining 🌧️ ❤️
;kfcmanofficial;But like... where are the krushers, man?
;rehan.babloo11;#Freepalestine
;rehan.babloo11;Boycott kfc
;_savannahspencer;❤
;mi._.fm;#freepelestine
;lina.barakat662;Don't want to see you here in MENA #leave_mena
;rehan.babloo11;#freepalestine #Freepalestine #Freepalestine #Freepalestine #Freepalestine #Freepalestine free
;rehan.babloo11;Free palestine 🇵🇸
;babymedkassper;After this , what next? Tacozza?
;ares0632;Fine, I’ll try it
;rehan.babloo11;Boycott KFC forever
;aj_mully;Just had a 5 pc nugs with a smash’d bowl and a blackberry lemonade.. don’t forget the kfc sauce, the lemonade SLAPS
;kutscbm;folkemord
;el_glyn71;DM me 🔥🔥
;rehan.babloo11;I hate kfc
;loreleroy;🤮🤮🤮Animals abused and unhealthy food! I dont understand how people can still eat this shit
;joshie.bedgood;Any update when nashville hot tenders will retur??? Chizza is terrible.
;stepa_hnik1565;It looks really good, as soon as it gets to Europe, im gonna buy
;oscarcheung_0525;But I love McDonald’s more
;pedrocgslp;🍗🍕🇺🇸
;purpl3_rasta;I hate makin these mfks you don’t wants to eat these I work here at kfc and the fillets that we use can be up to 3 hours old and chewy the fillets don’t get bought that often I’d stick w tenders or nuggs smash bowl etc the poppies are the nastiest they leave the chicken out all day then beggin to tear it apart to put into the pot pies
;scr_novelo;Bendíceme tío KFC
;haideralyas;Boycott forever ✨
;_zaid_choudharii;Boycott kfc
;mastadon_spirit;I want to see the chex tape
;i7x449;Bruyyyh
;i7x449;Can i get Hi?
;daddycookz;@daddycookz @jimmyhank_pizza unfortunately it never looks like this.
;milo_deg;Missing wedges smh
;peterrobertrezapahalvi;Is this true advertising? #dbz
;tha_native_pnw;Boycott kfc
;unholy.alternative;I approve this message. Thank you Colonel.
;shadowman5667;I have a question. Is the 20 dollar fill up box still available at all kfc locations?
;m._ddi3;Send me free chicken
;estillroger4404;Pull away the chicken from new York shut up blame every man except me help
;christiano.sch;Bring it to the netherlands man 🫣
;missmanarose;Bring back potato wedges and the Twister wrap.
;swisschaletbrandon;Y'all some freaks frfr
;brazzii._;Bruh it taste like Pennie’s and soggy toes and gave me bubble guts I would not get ts
;ajay_modanwal0;#badbrand
;_____abhii_____ll;🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸
;krrishmishra2344;IsNotReal 🇵🇸
;vikaskumarv4v_78;#cancelisrael 🇵🇸
;positive__minds8;#геноцид
;ryan_gosling.69;timetoboycot 🇵🇸
;67anfu2021;timetoboycot 🇵🇸
;king_srijal_7500;🇵🇸🇵🇸🇵🇸
;jdhdhdhhdhd774;israelbojkot
;anwar_yadav_raj_x;#бойкот
;sub.hash3767;ZionistOut 🇵🇸
;lkjhbhai;#IsNotReal 🇵🇸
;its_haris_93;Zionisttttt🇵🇸🍉
;mr_junaid._09__;boikot 🇵🇸
;bananamanbraxton;can i plz have a  free kfc suit jacket or tie 🙏
;pawan_raja_1965.k;StopTheGenocide🇵🇸🍉
;official_hariom_gurjar_karauli;бойкотisrael 🇵🇸
;reem.hani01;🇵🇸🇵🇸🇵🇸🇵🇸
;navtej_singh8583;NoZionists
;official._.divyanshu;#noisrael
;honeybae295;#StopTheGenocide
;shekh_shrif__;#bojkott
;quresh_girl009;#banisrael 🍉
;justt.yasserr;🇵🇸🍉🇵🇸🍉🇵🇸🍉
;uzair___47;#IsraelOut
;rupcanali87922;FreePalestine
;ansa15473;#bojokotisrael
;sourav_kumar_899;🇵🇸🇵🇸🇵🇸🇵🇸
;pjvdfkvdgm;CeasfireNow🇵🇸🍉
;dumil_____04.____;#israelisissss 🍉🍉
;alonesk595;#timetoboycot 🇵🇸
;bheeyada;IsraelOut
;aaa25176;CeasfireNow🇵🇸🍉
;eclqpsez;The Colonel is probably turning in his grave seeing this shit
;preeti_patel_839;#boycottttt
;dauli__queen979;worstbrand zionist
;omkar_kadampatil6;#genocid
;raviiof;bojokotisrael
;rekha123456795;#kickisrael
;__woyaraz__;#genocidi
;c_r_e_z_y_abhishek_;genocid
;official_broken_nishad;#StopTheGenocido
;whytonystar;#геноцид
;dasdas22333;CeasfireNow🇵🇸🍉
;fakir____balak____7732;nomoreisrael
;manoj__adithya__143__;#israhelll
;the_hayat_0x;CeasfireNow🇵🇸🍉
;ieijxiic;#genocídu 🍉🍉
;armadillo.944543;#cancelisrael 🇵🇸
;auty417;nomoreisrael
;bcgh9260;StopGenocideeee
;a_crezy_boy_23;геноцид
;mr_ritik_rother;#boycottttisraellll
;_nagarcoti;boycotisrael
;itzmanas31;#StopTheGenocido
;vikash_ganjhu_xx;#boycotisrael
;yadav0123458;🇵🇸🇵🇸🇵🇸
;____the_broken_____;#donotbuyhere
;neha___02__rajput;StopTheGenocido
;its_happy_baana_007;StopGenocideeee
;ni92282;#boycottttisraellll
;lololo.9025;boikotisrael
;minak.shi9757;#genocid
;palakpaney4055;israelbojkotta 🇵🇸
;21dev_kymar;genocid
;gaaanu357;nomoreisrael
;mr_cherry_620;🇵🇸🇵🇸🇵🇸
;qp__ahmed__x;бојкотовати
;yaduv_anshiboy99;bojkottisrael
;land124539;#donotbuyhere
;avinash_valmiki_09;boycotttttZionistt
;reeshu._.is;genocid
;kanikaverma_562;IsNotReal 🇵🇸
;musfi_67;#nomoreisrael
;official_sanchit_yaduvanshi;FreePalestine
;rink39982;#genocid
;heaven_writeso4;#nomoreisrael
;anjalpriya7016;StopTheGenocide
;s0987662;бојкотовати
;ankush_bharva;#genocid
;muku_l578;israelbojkotta 🇵🇸
;mahesh_jangid.2;StopTheGenocide🇵🇸🍉
;x__aryan__6203;#timetoboycot 🇵🇸
;chiu_tembare2008;#badbrand
;9917082505op;🇵🇸🍉🇵🇸🍉🇵🇸🍉
;lalob_hai070;🇵🇸🍉🇵🇸🍉🇵🇸🍉
;suraj_k8687;#génocide
;jigar_rajxmartboy;#StopTheGenocide
;piyush_panditji;génocide
;jaat_pradeep_0047;kickisrael
;offical_khatri_1341;israelbojkott 🇵🇸
;hgffbgsd;génocide
;gon.zinko_fan___;#boycottttt
;ilabelu;Chicken parm with leftover pizza toppings from pizza huts garbage. #dumpsterdiving
;alo_.552;I tried it but it has too much tomato sauce its not toasty its meh I give it an 4/10
;stoopidboi0;Do u guys sell@chicken
;noubaharakhter;(Psalm 129:5-6)Let all those who hate ZionBe put to shame and turned back.Let them be as the grass on the housetops,Which withers before it grows up,
;krishna56.56;#🙌
;ali_mustaqeem_;#boycott
;sydneyrailspotter;Hello kfc
;acerlynee;KFC I uh 👉👈
;martini.batalla;Bring back the hot fried wings
;whosens_;Bring back the donut sandwich im begging you
;icesignal;@kfcindia_official Update your menu card🔥
;privathan_w;Yummy 😋
;yusuf_mr3;🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸
;ramen._iso;Can I get it without paperoni
;nac_42;No KFC BY ME
;bencunningham06;Maslows hierarchy of kfc
;adamlouileroy;❤
;blindside_benji;Miss Childress food 💯
;juand90944;Free Palpatine
;senpai;nice
;claaaaaaaaraaaaaaaaa;Give whoever is in charge of kfc’s content a raise
;tobi_pyro;Looks like they’re taking notes from KFC.es, good
;vivianzvz;Hi I hope the hot wings can be permanent!!!! And introduce spicy popcorn chicken please!!!!
;jarrell_king;We need the honey bbq  wings back run it back
;kfc_gamer22;Facts
;popi.kajinka.popeskova;We dont Jave cheeza in europe🛐
;mi._.fm;#isra
;hornman.nick;Just delicious original recipe chicken and fries please ❤😋🍗
;hayden_lintoon;Bring this item to Australia
;postingg_kfc;How does it feel, eating KFC? I still don't  know
;swear_marthin;Kfc, when are you coming to Norway. Me and my friend would singlehandedly make sure that you are profitable
;szymon_stgt;Kfc makes me fall in love
;manny_rivera_live;Bring dragon ball popcorn chicken ! You would get so much respect
;yuckanti;Colonel sanders rolling in his grave
;blaubert_;I LOVE YOU KFC
;aziz.temerkan;We don't have KFC in Bafra/Samsun :( i hope i can taste KFC soon
;2bk_343;Eaten a Coasu 🥐
;missy_.rose1;Nope , kfc bring back Nashville hot tenders and wings
;shxpel;@ben_throssell I hate you
;femina_solis;chizza was approved by justin mcelory so im omw
;awais_lagharii;👎🏻👎🏻👎🏻👎🏻👎🏻
;giannis_platias;I need it!!
;mohamed_said_elhalhoui;This company contributes to genocide in Palestine
;thetwillightstar;Boy
;mark_j_kc;Whatever you do, don't use their app. If you have any issue the store can not refund you and I've already been waiting 5 days for a refund...
;r.hsv;@kfcbahrain
;imnare.sh;Can I get a free chizza
;sincerely_kosi;KFC in Nigeria is ableist refusing people who are using wheelchair to access food
;smileyiswhatido;The chizza looks good but it tast god awful and are really small
;boougiebadhabitt;Now why would yall make this nasty shxt then had the nerve to take away Nashville hot who n the fxck is coming with this nonsense some one is purposely running away customers
;iluv.kitties_;BRO.
;fatboylast;I'm here because of Stephen Colbert!! Good advertising!! I'm gonna try it now 💯
;heba.harb3;#disgusting keep it for yourself
;puromerca;what 😳
;missmanarose;Bring back potato wedges and the OG Twister wrap.
;dayan.tariq;she kentuckys on my fried til i chicken
;aimev_31;25 seconds ago is wild
;jeremypadawer;I miss the chocolate parfait.Bring it back. ❤❤❤🔥🔥
;beharryjudy123;Y'all prices are too high.
;osafort27;Boycott kfc
;jaan1_4300000;🇵🇸🇵🇸🇵🇸🇵🇸
;smoresdefend9;Sticky chicky
;nadeem.haxxan;#Boycott_kfc free Palestine🇵🇸🇵🇸🇵🇸
;cdx;Here to see the perverts.
;chaparrovivianjasbleydycastro;FORMARON CON LA MIEL LAS PAPILAS GUSTATIVAS🤣Y LA CAMPANA DE LA GARGANTA CAMPANITA Y AMIGDALAS DE MIELJEJE JAJA👄🔔 CUANT
;ayush__4224;boycottttisraellll
;mkbbkbo;#bojkott
;vforvertel;@slickvicwilliams 👀👀
;aditya8539965;IsNotReal 🇵🇸
;joerellan;#BOYCOTTTTTTTT
;kool_j_747;Buffalo?
;smoresdefend9;Sriracha
;vforvertel;@yvett_g 👀
;grannysoffherrocker;😍
;officialthreadsnewsglobal;Yummy yummy ❤️❤️❤️❤️
;mandy.popper;I get my wisdom teeth out on that day and I work for you.  Can I have a payed vacation
;danielleenoth;Honey mustard!
;mackynzie__;Sticky chicky
;_brianasantana_;Bring back the bbq wings and potato wedges 😢
;unholy.alternative;This is almost too saucy for IG 😳 Thank you Colonel.
;katietdyer;I should call her
;joshie.bedgood;Plz be nashville hot. Other flavors not acceptable
;hakmehr;😍🔥👏
;fredh1963;BRING BACK HONEY BBQ WINGS!!!!!!!!
;alexisbrochtrup;Bring back Nashville hot tenders
;willibeest;I’m going to trust you on this one.
;postingg_kfc;Stop posting, I can't take it anymore🥺
;kayy.mwa;answer my dm
;dhfvn865_;🇵🇸🇵🇸🇵🇸🇵🇸
;ak4_anshu;israelbojkott 🇵🇸
;doneedone_fhialpha;StopTheZionist
;aminosnsu;Zionisttttt🇵🇸🍉
;valerio.verdugo;genocídu 🍉🍉
;vishu_thakor9949;timetoboycot 🇵🇸
;my_self___nike_;genocid
;sayemm_khnn_;IsNotReal 🇵🇸
;royal__hari__302;StopTheZionist
;sk._sigma_boy;#folkedrab
;chris.smith215;StopTheGenocide
;nymar028b;boikotisrael
;spiderman__4401;#бойкот
;lenore.008BRING BACK POPCORN CHICKEN;
;shalimar_kdy;timetoboycot 🇵🇸
;heart_hacker_sahil786;геноцид
;its_me_jigar_boy;boycotttttZionistt
;neha__rajput__22__;bojokotisrael
;mr_sad_boy_554;#genocid
;love_is_life______07;#bojokotisrael
;saad_ahmed782;#IsraelOut
;gijjjkk2024;StopTheGenocide
;dev_rajput9474;#israelnono 🍉
;govindsaini5613;#bojkott
;new_oneff1;israelbojkot
;nozb2;bojokotisrael
;vzbsvs2024;#boycotisrael
;nsnnzjjfjekzm;boikot 🇵🇸
;rider10692;bojokotisrael
;itz_pratik.23;boycotisrael
;surbh.i2049;genocídu 🍉🍉
;aj968069;#israhelll
;kyrid4;#boycotisrael
;varsha__suman_01;#bojkottisrael
;its__devrajput;,#genocidi
;ritu_jaan882;FreePalestine
;ganesh1436663;🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸
;sama58258;folkemord
;akku46147;#genocid
;its___mohini___rajput;#boikot 🇵🇸
;swarnima__11;kickisrael
;kapil_parihar_deaf;🇵🇸🇵🇸🇵🇸🇵🇸
;google5678934;bojokotisrael
;its_pooja_100001;nomoreisrael
;p_t_e_j_e_s_h__k_u_m_a_r_;бојкотовати
;abhishekswami813;boycotisrael
;armanbagwan06;#IsNotReal 🇵🇸
;city_of_joura_143;#bojkott
;itzl.egent;🇵🇸🇵🇸🇵🇸
;jaansahu45;#boikotisrael
;king_kole_rcb_.90;noisrael zionists
;zarakhan821046;🇵🇸🍉🇵🇸🍉🇵🇸🍉
;alokbaba3491;StopGenocideeee
;sahinks2024;folkedrab
;wefdggdvhgff;#IsraelOut
;alone303_1;#israelisissss 🍉🍉
;tabr.ez__khan;#timetoboycot 🇵🇸
;snsn.sbns;folkmord 🇵🇸
;ggshwh11;ZionistOut 🇵🇸
;bahloul8102;🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸
;memopithecus;Looks like honey......spicy honey???
;kushi_sharma980;🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸
;xprtratul_69;boycotttttZionistt
;zakhmi_shayari_786;CeasfireNow🇵🇸🍉
;narmal1826;ZionistOutNow
;hsjsb1141;🇵🇸🇵🇸🇵🇸🇵🇸
;rus_hi2445;israelbojkot
;09_vikes_09;israelnono 🍉
;sehna_jkhatun;CeasfireNow
;khnx__aatiff;fajirtás 🇵🇸
;ranuki04;#cancelisrael 🇵🇸
;nbdhehdge72;timetoboycot 🇵🇸
;ggd29474;#StopTheGenocide
;rars297;genocidiii
;eyts5ssk4rs;🇵🇸🇵🇸🇵🇸
;sameer_boss_89001;nomoreisrael
;jaat_baba_202;folkemord
;tfhj591;#israhelll
;raja_ki_rani__4025;FreePalestine
;bxbcb3465;🍉🍉🍉
;vicky_jeeda_pb03;boycottttisraellll
;prabakarbajpai225;бойкот zionist
;gourav_jangra_500500;#genocid
;ju736984;israelbojkott 🇵🇸
;sad_rohittttt;#boycottttisraellll
;spotyi2023;🇵🇸🇵🇸🇵🇸
;s.pbishnoi_001;ludobójstwo
;tu92288;CeasfireNow
;lll_ujjain_king_lll;#StopTheGenocido
;__itz__crazy_girl_00;nomoreisrael
;cricet_aman_45;#israhelll
;_im_kundu_;#folkmord 🇵🇸
;tochan_king_jaat_5050d;israelbojkotta 🇵🇸
;khan786sk94;#бойкот
;jingayesha;bojkott
;badmash_t_315;boycotisrael
;js.bainsla9694;#génocide
;michellebrumfield11;🍯 honey 😍
;willis_emx;Boycott
;colador_de_agua;cum
;wavvy.tay25;Apple pies.
;sje1126;Georgia gold!
;djentdaddydave;Pause
;kpshortcut;We don’t deserve you kfc
;king.semej.uk;🔥🔥🔥🔥
;bb25b_b25;#فلسطين
;bb25b_b25;#فلسطين ابلاغ عن هذه الصفحات
;tranqbasehotel.casino;She kentucky on my chicken until i fry
;empress_aj_100;We need the wings back bro
;joerellan;StopTheGenocideeee #boycottttttt
;ragingplanet;@kfc bring back the OG 90’s Chicken Littles!!! 😢
;11_herbs_n_spices_in_hell;Sensual sauce drip
;impalaboss_713;@officialdaymdrops guess u gon have to try these family since @wendys only testing them 😒😒😒
